Job,Operation,Machine,Start,Duration,End
1,1,1,12,2,14
1,2,4,20,4,24
1,3,6,25,2,27
2,1,3,0,4,4
2,2,4,8,3,11
2,3,6,12,3,15
3,1,3,7,4,11
3,2,5,16,2,18
3,3,8,20,2,22
4,1,1,3,4,7
4,2,5,11,5,16
4,3,6,18,3,21
5,1,3,4,3,7
5,2,5,10,1,11
5,3,6,15,3,18
6,1,2,4,5,9
6,2,4,14,2,16
6,3,7,17,3,20
7,1,2,0,2,2
7,2,4,4,4,8
7,3,6,9,3,12
8,1,1,0,3,3
8,2,5,5,5,10
8,3,7,11,3,14
9,1,1,10,2,12
9,2,4,19,1,20
9,3,9,21,5,26
10,1,1,7,3,10
10,2,4,16,3,19
10,3,6,21,4,25
11,1,2,2,2,4
11,2,4,11,3,14
11,3,9,15,5,20
12,1,2,9,5,14
12,2,5,18,4,22
12,3,7,23,4,27
