Job,Operation,Machine,Start,Duration,End
1,1,2,12,2,14
1,2,4,18,4,22
1,3,8,22,2,24
2,1,1,8,4,12
2,2,4,15,3,18
2,3,7,18,4,22
3,1,3,0,4,4
3,2,5,8,2,10
3,3,8,10,2,12
4,1,2,9,3,12
4,2,5,15,5,20
4,3,6,20,3,23
5,1,3,8,3,11
5,2,5,14,1,15
5,3,8,15,6,21
6,1,2,4,5,9
6,2,4,13,2,15
6,3,6,16,4,20
7,1,2,0,2,2
7,2,4,2,4,6
7,3,8,6,3,9
8,1,1,0,3,3
8,2,5,3,5,8
8,3,6,8,3,11
9,1,1,6,2,8
9,2,4,12,1,13
9,3,9,14,5,19
10,1,1,3,3,6
10,2,4,9,3,12
10,3,6,12,4,16
11,1,2,2,2,4
11,2,4,6,3,9
11,3,9,9,5,14
12,1,3,4,4,8
12,2,5,10,4,14
12,3,7,14,4,18
